generation	repeats	mean	best	mutation rate
0	402	11,081	22,283	0,10000
1	404	10,931	21,761	0,10000
2	402	10,871	23,459	0,10000
3	404	10,796	23,491	0,10000
4	404	10,691	26,429	0,10000
5	400	10,596	23,267	0,10000
6	401	10,498	23,542	0,10000
7	400	10,486	23,757	0,10000
8	402	10,357	26,337	0,10000
9	404	10,301	27,157	0,10000
10	401	10,125	22,721	0,10000
11	402	9,986	23,463	0,10000
12	400	9,867	23,678	0,10000
13	403	9,841	23,797	0,10000
14	403	9,738	25,269	0,10000
15	402	9,708	26,269	0,10000
16	402	9,641	25,653	0,10000
17	405	9,561	25,801	0,10000
18	400	9,454	22,223	0,10000
19	402	9,341	20,941	0,10000
20	400	9,318	19,527	0,10000
21	403	9,268	21,203	0,10000
22	401	9,266	21,384	0,10000
23	403	9,257	21,078	0,10000
24	402	9,148	23,188	0,10000
25	403	9,118	20,332	0,10000
26	401	9,022	20,332	0,10000
27	401	8,988	22,569	0,10000
28	402	8,964	20,420	0,10000
29	402	8,960	20,667	0,10000
30	402	8,937	18,935	0,10000
31	401	8,868	17,480	0,10000
32	400	8,830	21,301	0,10000
33	401	8,763	24,402	0,10000
34	401	8,702	22,230	0,10000
35	400	8,596	22,729	0,10000
36	401	8,600	30,361	0,10000
37	404	8,599	27,083	0,10000
38	401	8,608	21,567	0,10000
39	402	8,562	20,112	0,10000
40	403	8,483	18,868	0,10000
41	401	8,485	18,701	0,10000
42	402	8,444	19,836	0,10000
43	403	8,448	21,769	0,10000
44	401	8,441	18,471	0,10000
45	402	8,427	22,168	0,10000
46	401	8,412	20,699	0,10000
47	403	8,389	21,448	0,10000
48	400	8,354	18,427	0,10000
49	402	8,294	20,497	0,10000
50	405	8,302	21,514	0,10000
51	401	8,314	20,085	0,10000
52	403	8,329	19,232	0,10000
53	400	8,252	19,557	0,10000
54	402	8,238	19,125	0,10000
55	400	8,218	19,241	0,10000
56	400	8,177	19,800	0,10000
57	402	8,127	19,943	0,10000
58	402	8,127	20,009	0,10000
59	403	8,133	19,973	0,10000
60	402	8,091	17,216	0,10000
61	401	8,058	18,394	0,10000
62	401	8,007	18,556	0,10000
63	402	8,028	19,517	0,10000
64	402	8,056	18,556	0,10000
65	401	8,045	19,197	0,10000
66	401	8,051	22,493	0,10000
67	401	8,062	17,960	0,10000
68	400	8,044	18,990	0,10000
69	401	8,011	19,136	0,10000
70	404	8,038	17,788	0,10000
71	404	8,028	17,957	0,10000
72	402	7,980	18,000	0,10000
73	401	7,972	17,898	0,10000
74	402	7,969	19,036	0,10000
75	401	7,989	17,935	0,10000
76	401	8,016	19,224	0,10000
77	401	7,985	16,870	0,10000
78	404	7,943	16,831	0,10000
79	402	7,945	17,655	0,10000
80	404	7,912	18,250	0,10000
81	401	7,903	19,361	0,10000
