generation	repeats	mean	best	mutation rate
0	401	10,881	20,994	0,19025
1	403	10,727	24,199	0,18097
2	403	10,617	26,299	0,17214
3	406	10,554	26,836	0,16375
4	402	10,500	26,834	0,15576
5	403	10,398	25,437	0,14816
6	401	10,360	26,577	0,14094
7	400	10,292	29,335	0,13406
8	404	10,250	24,267	0,12753
9	400	10,218	27,095	0,12131
10	405	10,182	27,511	0,11539
11	405	10,155	27,871	0,10976
12	404	10,067	27,700	0,10441
13	401	10,025	27,265	0,09932
14	402	10,003	27,076	0,09447
15	402	10,011	27,318	0,08987
16	402	9,906	26,966	0,08548
17	401	9,898	26,975	0,08131
18	406	9,857	26,792	0,07735
19	405	9,769	27,096	0,07358
20	402	9,725	26,280	0,06999
21	403	9,741	26,600	0,06657
22	404	9,699	28,385	0,06333
23	408	9,672	27,774	0,06024
24	403	9,608	27,331	0,05730
25	400	9,614	27,435	0,05451
26	400	9,595	30,484	0,05185
27	404	9,585	27,693	0,04932
28	404	9,591	29,547	0,04691
29	403	9,552	28,592	0,04463
30	402	9,484	29,567	0,04245
31	402	9,493	28,004	0,04038
32	405	9,449	27,142	0,03841
33	402	9,425	27,659	0,03654
34	405	9,404	29,630	0,03475
35	406	9,404	31,911	0,03306
36	408	9,405	31,911	0,03145
37	405	9,389	32,309	0,02991
38	403	9,376	32,309	0,02845
39	402	9,397	32,108	0,02707
40	405	9,363	30,623	0,02575
41	404	9,309	29,719	0,02449
42	406	9,317	29,372	0,02330
43	405	9,309	28,447	0,02216
44	407	9,286	28,447	0,02108
45	403	9,290	29,372	0,02005
46	403	9,295	30,520	0,01907
47	404	9,298	28,483	0,01814
48	410	9,301	28,789	0,01726
49	406	9,303	28,448	0,01642
50	404	9,283	29,776	0,01562
51	408	9,269	30,396	0,01485
52	411	9,227	30,434	0,01413
53	402	9,221	31,171	0,01344
54	401	9,191	31,063	0,01279
55	410	9,174	31,059	0,01216
56	406	9,152	31,607	0,01157
57	400	9,149	32,196	0,01100
58	402	9,156	30,888	0,01047
59	406	9,148	31,242	0,00996
60	407	9,149	29,699	0,00947
61	406	9,158	29,699	0,00901
62	402	9,183	31,059	0,00857
63	409	9,180	30,923	0,00815
64	410	9,174	31,059	0,00775
65	404	9,160	32,017	0,00738
66	405	9,147	29,868	0,00702
67	405	9,152	30,888	0,00667
68	405	9,158	32,196	0,00635
69	402	9,170	33,538	0,00604
70	405	9,150	32,376	0,00574
71	407	9,138	32,935	0,00546
72	401	9,148	33,581	0,00520
73	401	9,138	32,418	0,00494
74	408	9,130	30,494	0,00470
75	400	9,147	31,112	0,00447
76	405	9,147	32,392	0,00426
77	406	9,150	30,001	0,00405
78	412	9,133	30,626	0,00385
79	406	9,141	30,913	0,00366
80	404	9,129	33,228	0,00348
81	406	9,134	31,462	0,00331
82	403	9,106	31,598	0,00315
83	405	9,108	34,094	0,00300
84	405	9,099	32,615	0,00285
85	402	9,112	34,094	0,00271
86	408	9,127	33,228	0,00258
87	409	9,130	33,228	0,00246
88	406	9,115	34,094	0,00234
89	406	9,117	33,228	0,00222
90	404	9,109	32,615	0,00211
91	407	9,100	32,615	0,00201
92	405	9,111	34,094	0,00191
93	404	9,099	31,080	0,00182
94	408	9,086	29,759	0,00173
95	405	9,096	29,564	0,00165
96	406	9,120	30,264	0,00157
97	402	9,126	30,211	0,00149
98	410	9,113	30,958	0,00142
99	408	9,125	31,328	0,00135
100	405	9,121	31,161	0,00128
101	403	9,103	31,094	0,00122
102	407	9,106	30,926	0,00116
103	406	9,091	30,926	0,00110
104	405	9,098	30,705	0,00105
105	406	9,091	30,705	0,00100
106	408	9,106	30,907	0,00095
107	410	9,107	31,340	0,00090
108	406	9,099	31,112	0,00086
109	409	9,104	30,776	0,00082
110	406	9,100	31,066	0,00078
111	411	9,096	31,092	0,00074
112	411	9,104	31,092	0,00070
113	408	9,096	31,066	0,00067
114	412	9,104	31,102	0,00064
115	412	9,093	31,313	0,00061
116	406	9,080	31,064	0,00058
117	405	9,095	31,092	0,00055
