generation	repeats	mean	best	mutation rate
0	301	10,907	25,067	0,19025
1	301	10,676	24,096	0,18097
2	303	10,391	28,219	0,17214
3	303	10,196	28,097	0,16375
4	301	10,124	25,501	0,15576
5	301	9,970	23,900	0,14816
6	303	9,922	24,590	0,14094
7	303	9,914	27,032	0,13406
8	303	9,848	26,070	0,12753
9	305	9,807	22,297	0,12131
10	306	9,720	22,158	0,11539
11	306	9,604	22,597	0,10976
12	306	9,532	24,925	0,10441
13	304	9,525	24,795	0,09932
14	308	9,462	27,739	0,09447
15	308	9,484	24,337	0,08987
16	304	9,399	25,541	0,08548
17	306	9,313	24,991	0,08131
18	309	9,292	27,718	0,07735
19	307	9,283	25,510	0,07358
20	304	9,227	27,247	0,06999
21	303	9,150	26,138	0,06657
22	307	9,153	25,811	0,06333
23	306	9,132	26,969	0,06024
24	307	9,159	29,390	0,05730
25	304	9,099	28,424	0,05451
26	307	9,126	27,400	0,05185
27	309	9,081	26,707	0,04932
28	306	9,078	26,508	0,04691
29	307	9,008	28,359	0,04463
30	309	9,003	27,619	0,04245
31	307	8,989	27,221	0,04038
32	311	8,942	27,312	0,03841
33	311	8,936	27,610	0,03654
34	311	8,909	27,842	0,03475
35	310	8,929	27,842	0,03306
36	316	8,904	27,381	0,03145
37	305	8,903	28,048	0,02991
38	307	8,958	27,610	0,02845
39	309	8,938	26,177	0,02707
40	311	8,892	24,946	0,02575
41	309	8,890	25,830	0,02449
42	307	8,864	26,203	0,02330
43	308	8,861	26,512	0,02216
44	310	8,897	26,807	0,02108
45	309	8,909	26,054	0,02005
46	312	8,871	26,983	0,01907
47	320	8,908	28,395	0,01814
48	308	8,917	27,461	0,01726
49	307	8,903	28,682	0,01642
50	314	8,899	26,802	0,01562
51	306	8,911	29,767	0,01485
52	305	8,868	28,172	0,01413
53	307	8,878	27,613	0,01344
54	309	8,899	28,950	0,01279
55	309	8,910	27,130	0,01216
56	305	8,909	27,296	0,01157
57	308	8,916	28,555	0,01100
58	316	8,910	28,715	0,01047
59	305	8,895	29,886	0,00996
60	316	8,881	29,731	0,00947
61	316	8,900	29,846	0,00901
62	314	8,895	28,418	0,00857
63	315	8,903	29,640	0,00815
64	310	8,892	27,465	0,00775
65	313	8,902	27,517	0,00738
66	310	8,891	28,987	0,00702
67	313	8,880	28,152	0,00667
68	312	8,899	30,124	0,00635
69	318	8,899	29,356	0,00604
70	312	8,889	29,356	0,00574
71	313	8,888	30,988	0,00546
72	312	8,903	29,416	0,00520
73	310	8,905	29,816	0,00494
74	310	8,911	29,002	0,00470
75	311	8,920	29,979	0,00447
76	311	8,919	30,237	0,00426
77	307	8,903	29,952	0,00405
78	317	8,901	29,185	0,00385
79	306	8,914	28,453	0,00366
80	306	8,901	27,205	0,00348
81	308	8,896	28,881	0,00331
82	311	8,897	31,145	0,00315
83	313	8,867	30,204	0,00300
84	319	8,881	30,962	0,00285
