generation	repeats	mean	best	mutation rate
0	38	14,955	21,253	0,00000
1	19	15,629	21,826	0,00000
2	13	16,537	23,511	0,00000
3	9	17,774	25,601	0,00000
4	7	18,226	26,059	0,00000
5	6	18,762	27,301	0,00000
6	4	18,017	27,301	0,00000
7	3	17,809	27,301	0,00000
8	3	17,866	28,654	0,00000
9	1	17,458	29,093	0,00000
10	1	16,622	30,522	0,00000
11	0	15,658	31,577	0,00000
12	0	14,687	30,704	0,00000
13	1	14,283	25,689	0,00000
14	0	13,866	26,838	0,00000
15	1	13,401	23,783	0,00000
16	0	12,997	21,216	0,00000
17	1	12,711	21,950	0,00000
18	0	12,928	22,179	0,00000
19	1	12,531	23,113	0,00000
20	0	12,221	20,278	0,00000
21	0	12,406	21,930	0,00000
22	0	12,035	18,604	0,00000
23	0	11,872	22,980	0,00000
24	0	11,431	17,967	0,00000
25	1	11,305	21,009	0,00000
26	1	11,463	26,926	0,00000
27	0	11,371	26,384	0,00000
28	0	11,566	25,763	0,00000
29	1	11,352	21,138	0,00000
30	0	11,622	25,027	0,00000
31	0	11,467	22,033	0,00000
32	0	11,445	20,933	0,00000
33	0	11,193	15,548	0,00000
34	0	11,245	22,831	0,00000
35	1	11,216	15,731	0,00000
36	1	11,212	17,657	0,00000
37	1	11,573	17,201	0,00000
38	0	11,564	18,234	0,00000
39	0	11,512	19,639	0,00000
40	0	11,425	19,246	0,00000
41	0	11,426	18,917	0,00000
42	1	11,255	19,826	0,00000
43	1	11,210	17,890	0,00000
44	0	11,510	16,595	0,00000
45	0	11,246	16,153	0,00000
46	1	11,152	15,655	0,00000
47	0	11,063	17,390	0,00000
48	1	10,810	19,104	0,00000
49	0	10,923	16,507	0,00000
50	0	11,291	18,015	0,00000
51	1	10,852	16,647	0,00000
52	0	10,920	18,749	0,00000
53	0	11,089	16,718	0,00000
54	0	11,259	20,090	0,00000
55	1	10,930	21,502	0,00000
56	1	11,082	18,224	0,00000
57	0	11,008	16,910	0,00000
58	0	11,001	15,609	0,00000
59	1	10,977	16,543	0,00000
60	0	10,714	16,373	0,00000
61	0	10,710	15,201	0,00000
62	0	10,667	17,236	0,00000
63	0	10,789	20,585	0,00000
64	1	10,906	19,866	0,00000
65	0	10,829	16,897	0,00000
66	0	10,652	18,345	0,00000
67	0	10,784	16,897	0,00000
68	0	10,614	17,531	0,00000
69	0	10,310	16,497	0,00000
70	0	10,524	18,010	0,00000
71	0	10,932	18,154	0,00000
72	0	10,738	18,488	0,00000
73	1	10,731	15,856	0,00000
74	0	10,774	17,190	0,00000
75	1	10,870	17,485	0,00000
76	0	11,184	17,922	0,00000
77	0	10,924	18,949	0,00000
78	0	11,014	19,190	0,00000
79	2	11,033	17,539	0,00000
80	0	11,055	17,642	0,00000
81	0	10,975	17,088	0,00000
82	0	11,562	16,726	0,00000
83	0	11,395	17,463	0,00000
84	1	11,760	20,162	0,00000
85	0	11,733	19,432	0,00000
86	1	11,255	19,014	0,00000
87	0	11,181	18,970	0,00000
88	0	11,057	17,732	0,00000
89	0	11,094	17,953	0,00000
90	0	11,090	17,870	0,00000
91	0	10,952	15,996	0,00000
92	1	10,595	15,615	0,00000
93	2	10,691	15,919	0,00000
94	0	10,580	15,485	0,00000
95	0	10,508	16,220	0,00000
96	1	10,959	17,918	0,00000
97	1	11,026	18,681	0,00000
98	1	11,077	17,258	0,00000
99	0	11,244	19,708	0,00000
100	0	11,155	17,358	0,00000
101	0	10,997	17,692	0,00000
102	0	10,909	17,425	0,00000
103	0	11,237	19,811	0,00000
104	0	11,038	19,960	0,00000
105	0	10,721	19,307	0,00000
106	1	10,987	18,361	0,00000
107	0	11,095	17,978	0,00000
108	0	11,426	18,790	0,00000
109	0	11,188	18,933	0,00000
110	0	11,143	20,783	0,00000
111	0	11,130	19,319	0,00000
112	1	10,955	21,375	0,00000
113	0	10,987	21,794	0,00000
114	0	10,661	20,317	0,00000
115	0	10,837	22,609	0,00000
116	0	10,784	18,337	0,00000
117	0	10,790	17,143	0,00000
118	0	11,220	17,758	0,00000
119	0	11,000	16,758	0,00000
120	1	11,122	17,571	0,00000
121	0	11,163	17,240	0,00000
122	0	11,256	17,618	0,00000
123	0	11,512	20,914	0,00000
124	0	11,698	20,125	0,00000
125	0	11,623	21,049	0,00000
126	0	11,607	22,512	0,00000
127	0	11,467	17,654	0,00000
128	0	11,424	19,400	0,00000
129	1	11,282	20,376	0,00000
130	1	10,967	18,512	0,00000
131	0	11,598	18,563	0,00000
132	0	11,707	20,074	0,00000
133	0	11,601	19,504	0,00000
134	0	11,249	18,202	0,00000
135	1	11,269	20,273	0,00000
136	0	11,271	19,742	0,00000
137	0	11,147	19,219	0,00000
